,OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
22817,Gol Trans,5,I,Sao Paulo,Martes,0
3115,Grupo LATAM,1,N,Iquique,Jueves,0
9132,Grupo LATAM,2,N,Iquique,Miercoles,0
32592,Aerolineas Argentinas,7,I,Buenos Aires,Domingo,0
62721,Oceanair Linhas Aereas,12,I,Sao Paulo,Miercoles,0
11258,Grupo LATAM,2,I,Mendoza,Lunes,0
20497,Grupo LATAM,4,N,La Serena,Miercoles,0
49596,JetSmart SPA,9,N,Calama,Martes,0
2121,Sky Airline,1,N,Iquique,Domingo,0
52218,Grupo LATAM,10,N,Punta Arenas,Jueves,0
21915,Grupo LATAM,4,I,Guayaquil,Sabado,0
61545,Latin American Wings,11,I,Mendoza,Miercoles,0
1204,Grupo LATAM,1,I,Rio de Janeiro,Lunes,1
3412,Grupo LATAM,1,N,Concepcion,Viernes,0
2839,Grupo LATAM,1,N,Antofagasta,Lunes,0
47939,Grupo LATAM,9,N,Antofagasta,Miercoles,0
60862,Grupo LATAM,11,I,Sao Paulo,Sabado,0
13335,Sky Airline,3,N,Antofagasta,Viernes,0
34048,Sky Airline,7,N,Concepcion,Viernes,0
60749,Grupo LATAM,11,I,Ciudad de Mexico,Domingo,0
34807,Sky Airline,7,I,Montevideo,Viernes,1
20640,Grupo LATAM,4,N,Antofagasta,Domingo,0
13233,Sky Airline,3,N,Calama,Sabado,0
24979,Grupo LATAM,5,N,Concepcion,Miercoles,0
43000,Grupo LATAM,8,I,Buenos Aires,Miercoles,0
30964,Grupo LATAM,6,N,Calama,Martes,0
9213,Grupo LATAM,2,N,Concepcion,Viernes,0
42874,Grupo LATAM,8,I,Buenos Aires,Sabado,0
58437,Grupo LATAM,11,N,Antofagasta,Lunes,1
37782,Grupo LATAM,7,I,Sao Paulo,Miercoles,0
60899,Grupo LATAM,11,I,Madrid,Sabado,0
10164,Grupo LATAM,2,N,Calama,Jueves,0
35010,Grupo LATAM,7,N,Copiapo,Martes,0
20582,Grupo LATAM,4,N,Copiapo,Sabado,0
39802,Sky Airline,8,N,Osorno,Miercoles,1
2761,Grupo LATAM,1,N,Antofagasta,Martes,0
14100,Grupo LATAM,3,N,Antofagasta,Lunes,0
64320,Sky Airline,12,I,Lima,Domingo,0
67627,Grupo LATAM,12,I,Buenos Aires,Sabado,0
12819,Sky Airline,3,N,Balmaceda,Miercoles,0
20794,Grupo LATAM,4,N,Calama,Lunes,0
50991,Sky Airline,10,N,Puerto Montt,Domingo,0
51161,Sky Airline,10,N,Concepcion,Miercoles,0
52682,Grupo LATAM,10,N,Iquique,Viernes,0
57634,Sky Airline,11,N,Antofagasta,Lunes,0
33270,Qantas Airways,7,I,Sydney,Martes,1
1031,Grupo LATAM,1,I,Sao Paulo,Lunes,0
61830,JetSmart SPA,11,N,Temuco,Viernes,1
23865,Sky Airline,5,N,Antofagasta,Lunes,1
7361,Sky Airline,2,N,Puerto Montt,Lunes,1
22163,Latin American Wings,4,I,Lima,Miercoles,0
51748,Sky Airline,10,N,Iquique,Domingo,0
27854,British Airways,6,I,Londres,Miercoles,0
52188,Grupo LATAM,10,N,Castro (Chiloe),Viernes,0
56400,Gol Trans,11,I,Sao Paulo,Jueves,1
63038,Grupo LATAM,12,I,Sao Paulo,Sabado,1
32176,Grupo LATAM,6,I,Buenos Aires,Viernes,0
28990,Sky Airline,6,N,Antofagasta,Domingo,0
15281,Grupo LATAM,3,N,Punta Arenas,Martes,0
48248,Grupo LATAM,9,I,Montevideo,Jueves,0
8155,Sky Airline,2,I,Buenos Aires,Lunes,0
18514,Sky Airline,4,N,La Serena,Sabado,0
22240,Air Canada,5,I,Buenos Aires,Domingo,0
27326,Latin American Wings,5,N,Concepcion,Miercoles,0
65095,Grupo LATAM,12,N,Iquique,Lunes,0
12825,Sky Airline,3,N,Balmaceda,Domingo,0
444,Alitalia,1,I,Roma,Lunes,0
55635,JetSmart SPA,10,N,Copiapo,Martes,1
42237,Grupo LATAM,8,N,La Serena,Jueves,0
51871,Sky Airline,10,I,Buenos Aires,Sabado,0
65962,Grupo LATAM,12,N,Copiapo,Martes,0
66968,Grupo LATAM,12,I,Lima,Lunes,0
57927,Sky Airline,11,I,Buenos Aires,Jueves,0
30464,Grupo LATAM,6,N,Puerto Montt,Viernes,0
41500,Grupo LATAM,8,N,Concepcion,Miercoles,0
13601,Sky Airline,3,N,Iquique,Domingo,0
30947,Grupo LATAM,6,N,Calama,Martes,0
48327,Grupo LATAM,9,I,Mendoza,Sabado,0
36805,Grupo LATAM,7,N,Arica,Sabado,0
29741,Grupo LATAM,6,N,Antofagasta,Miercoles,0
41375,Grupo LATAM,8,N,Iquique,Jueves,0
67967,JetSmart SPA,12,N,Antofagasta,Sabado,0
25431,Grupo LATAM,5,N,Balmaceda,Domingo,0
7956,Sky Airline,2,N,Iquique,Viernes,0
9814,Grupo LATAM,2,N,Puerto Montt,Martes,0
5534,Grupo LATAM,1,N,Isla de Pascua,Sabado,0
34857,Sky Airline,7,I,Lima,Domingo,0
48505,Grupo LATAM,9,I,Buenos Aires,Sabado,0
17812,Gol Trans,4,I,Sao Paulo,Domingo,0
24599,Grupo LATAM,5,N,Antofagasta,Lunes,0
32990,Copa Air,7,I,Ciudad de Panama,Martes,1
56638,Grupo LATAM,11,I,Asuncion,Lunes,0
61321,Grupo LATAM,11,I,Lima,Sabado,0
39088,Gol Trans,8,I,Sao Paulo,Lunes,1
58522,Grupo LATAM,11,N,Calama,Miercoles,1
50316,Delta Air,10,I,Atlanta,Viernes,1
35982,Grupo LATAM,7,N,Puerto Montt,Miercoles,0
52059,Sky Airline,10,I,Lima,Domingo,0
2901,Grupo LATAM,1,N,Antofagasta,Domingo,0
17764,Delta Air,4,I,Atlanta,Martes,0
61926,Air Canada,12,I,Buenos Aires,Domingo,0
8339,Sky Airline,2,I,Lima,Viernes,1
5067,Grupo LATAM,1,I,Nueva York,Jueves,1
67859,Latin American Wings,12,N,Concepcion,Viernes,1
17319,Aerolineas Argentinas,4,I,Buenos Aires,Domingo,0
27116,Grupo LATAM,5,I,Guayaquil,Lunes,1
63475,Sky Airline,12,N,La Serena,Domingo,0
14470,Grupo LATAM,3,N,Iquique,Viernes,0
23422,Sky Airline,5,N,Temuco,Lunes,0
12950,Sky Airline,3,N,Temuco,Sabado,0
4052,Grupo LATAM,1,N,Puerto Montt,Jueves,0
38242,Latin American Wings,7,I,Lima,Lunes,1
55613,JetSmart SPA,10,N,La Serena,Lunes,0
11267,Grupo LATAM,2,I,Mendoza,Miercoles,0
38588,Aerolineas Argentinas,8,I,Buenos Aires,Jueves,0
13892,Sky Airline,3,I,Lima,Viernes,1
36390,Grupo LATAM,7,N,La Serena,Viernes,0
45330,Sky Airline,9,N,Punta Arenas,Martes,0
67710,Latin American Wings,12,N,Antofagasta,Jueves,0
20914,Grupo LATAM,4,N,Arica,Domingo,0
27912,Copa Air,6,I,Ciudad de Panama,Lunes,0
52645,Grupo LATAM,10,N,Iquique,Domingo,0
33958,Sky Airline,7,N,Temuco,Jueves,0
62508,Gol Trans,12,I,Sao Paulo,Domingo,0
19526,Grupo LATAM,4,N,Calama,Martes,0
35275,Grupo LATAM,7,N,Calama,Miercoles,0
26708,Grupo LATAM,5,I,Lima,Jueves,0
9127,Grupo LATAM,2,N,Iquique,Viernes,0
67159,Grupo LATAM,12,I,Sao Paulo,Sabado,0
18415,Sky Airline,4,N,Temuco,Martes,0
18127,Grupo LATAM,4,I,Rio de Janeiro,Domingo,0
59056,Grupo LATAM,11,N,Concepcion,Miercoles,1
58488,Grupo LATAM,11,N,Antofagasta,Domingo,0
43413,Grupo LATAM,8,I,Lima,Lunes,0
17240,Air Canada,4,I,Toronto,Domingo,0
46288,Sky Airline,9,I,Mendoza,Jueves,0
53471,Grupo LATAM,10,N,La Serena,Martes,0
51693,Sky Airline,10,N,Iquique,Martes,1
55173,Grupo LATAM,10,I,Guayaquil,Viernes,1
45396,Sky Airline,9,N,Puerto Montt,Sabado,0
60968,Grupo LATAM,11,I,Auckland N.Z.,Jueves,0
49553,Latin American Wings,9,N,Concepcion,Lunes,0
53991,Grupo LATAM,10,I,Montevideo,Jueves,1
39461,Grupo LATAM,8,I,Sao Paulo,Jueves,0
27105,Grupo LATAM,5,I,Guayaquil,Jueves,0
67528,Grupo LATAM,12,I,Lima,Viernes,0
16218,Grupo LATAM,3,I,Bogota,Martes,0
23731,Sky Airline,5,N,Calama,Jueves,0
6416,Avianca,2,I,Bogota,Martes,0
51361,Sky Airline,10,N,Copiapo,Jueves,0
35340,Grupo LATAM,7,N,Calama,Miercoles,0
61945,Air Canada,12,I,Buenos Aires,Domingo,1
19676,Grupo LATAM,4,N,Iquique,Martes,0
13464,Sky Airline,3,N,Antofagasta,Jueves,0
43938,Latin American Wings,8,I,Lima,Miercoles,0
59322,Grupo LATAM,11,N,Puerto Montt,Jueves,1
64450,Grupo LATAM,12,N,Temuco,Martes,0
51881,Sky Airline,10,I,Buenos Aires,Martes,0
59731,Grupo LATAM,11,N,Copiapo,Martes,0
20381,Grupo LATAM,4,N,Punta Arenas,Lunes,0
10181,Grupo LATAM,2,N,Calama,Domingo,0
9103,Grupo LATAM,2,N,Arica,Martes,0
60886,Grupo LATAM,11,I,Madrid,Domingo,0
15217,Grupo LATAM,3,N,Puerto Montt,Viernes,1
22893,Iberia,5,I,Madrid,Miercoles,0
22482,Aerolineas Argentinas,5,I,Buenos Aires,Martes,0
53072,Grupo LATAM,10,N,Valdivia,Martes,1
53202,Grupo LATAM,10,N,Puerto Montt,Martes,1
44435,Aerolineas Argentinas,9,I,Buenos Aires,Domingo,1
15514,Grupo LATAM,3,N,La Serena,Jueves,0
62727,United Airlines,12,I,Houston,Sabado,0
8655,Grupo LATAM,2,N,Antofagasta,Lunes,0
64346,Sky Airline,12,I,Lima,Sabado,1
40598,Sky Airline,8,I,Buenos Aires,Viernes,1
23850,Sky Airline,5,N,Antofagasta,Martes,0
958,Grupo LATAM,1,I,Sao Paulo,Sabado,0
5070,Grupo LATAM,1,I,Nueva York,Jueves,0
13667,Sky Airline,3,N,Arica,Miercoles,0
21708,Grupo LATAM,4,I,Sao Paulo,Viernes,0
45198,Grupo LATAM,9,I,Rio de Janeiro,Sabado,1
13745,Sky Airline,3,I,Buenos Aires,Martes,0
55212,Grupo LATAM,10,I,Lima,Lunes,0
50605,Grupo LATAM,10,I,Asuncion,Viernes,0
15150,Grupo LATAM,3,N,Punta Arenas,Jueves,0
55249,Grupo LATAM,10,I,Lima,Jueves,0
8811,Grupo LATAM,2,N,Calama,Lunes,0
52069,Sky Airline,10,I,Lima,Miercoles,0
63824,Sky Airline,12,N,Antofagasta,Viernes,1
52989,Grupo LATAM,10,N,Temuco,Martes,0
59023,Grupo LATAM,11,N,Concepcion,Domingo,0
53342,Grupo LATAM,10,N,Punta Arenas,Martes,0
31158,Grupo LATAM,6,I,Mendoza,Sabado,1
29858,Grupo LATAM,6,N,Calama,Lunes,0
40303,Sky Airline,8,N,Antofagasta,Martes,0
58769,Grupo LATAM,11,N,Iquique,Miercoles,0
27446,American Airlines,6,I,Dallas,Domingo,0
21072,Grupo LATAM,4,I,Buenos Aires,Lunes,0
51203,Sky Airline,10,N,Concepcion,Sabado,0
35494,Grupo LATAM,7,N,Iquique,Sabado,0
26003,Grupo LATAM,5,N,Calama,Jueves,1
12761,Sky Airline,3,N,Punta Arenas,Viernes,1
53079,Grupo LATAM,10,N,Valdivia,Viernes,0
41841,Grupo LATAM,8,N,Puerto Montt,Miercoles,0
50673,Grupo LATAM,10,I,Sao Paulo,Martes,0
26279,Grupo LATAM,5,I,Buenos Aires,Martes,0
13554,Sky Airline,3,N,Iquique,Lunes,0
42075,Grupo LATAM,8,N,Puerto Montt,Sabado,0
51291,Sky Airline,10,N,La Serena,Jueves,1
11400,Grupo LATAM,2,N,Antofagasta,Viernes,1
4240,Grupo LATAM,1,N,La Serena,Jueves,0
65812,Grupo LATAM,12,N,Punta Arenas,Lunes,0
26598,Grupo LATAM,5,I,Nueva York,Lunes,0
7570,Sky Airline,2,N,La Serena,Martes,0
67773,Latin American Wings,12,I,Lima,Viernes,1
5012,Grupo LATAM,1,I,Lima,Lunes,1
22992,Grupo LATAM,5,I,Asuncion,Lunes,1
22601,Alitalia,5,I,Roma,Lunes,0
39942,Sky Airline,8,N,Concepcion,Jueves,1
31424,Grupo LATAM,6,I,Buenos Aires,Lunes,0
65928,Grupo LATAM,12,N,Copiapo,Domingo,0
8431,Grupo LATAM,2,N,Temuco,Viernes,0
7596,Sky Airline,2,N,La Serena,Domingo,1
64393,Sky Airline,12,I,Lima,Lunes,1
25381,Grupo LATAM,5,N,Puerto Montt,Lunes,0
21404,Grupo LATAM,4,I,Nueva York,Viernes,0
38542,Aeromexico,8,I,Ciudad de Mexico,Viernes,0
61971,Air France,12,I,Paris,Martes,0
40247,Sky Airline,8,N,Antofagasta,Martes,0
18075,Grupo LATAM,4,I,Rio de Janeiro,Domingo,0
64288,Sky Airline,12,I,Montevideo,Lunes,0
27945,Copa Air,6,I,Ciudad de Panama,Jueves,0
52734,Grupo LATAM,10,N,Iquique,Domingo,0
52460,Grupo LATAM,10,N,Calama,Lunes,0
4896,Grupo LATAM,1,I,Buenos Aires,Jueves,0
50117,Alitalia,10,I,Roma,Lunes,0
46502,Grupo LATAM,9,N,Punta Arenas,Martes,1
55593,JetSmart SPA,10,N,Antofagasta,Martes,0
44832,Gol Trans,9,I,Sao Paulo,Viernes,1
6807,K.L.M.,2,I,Buenos Aires,Sabado,0
65896,Grupo LATAM,12,N,La Serena,Lunes,0
45982,Sky Airline,9,N,Antofagasta,Viernes,1
49410,Grupo LATAM,9,I,Lima,Lunes,0
60684,Grupo LATAM,11,I,Bogota,Lunes,0
47140,Grupo LATAM,9,N,Concepcion,Domingo,0
33579,Grupo LATAM,7,I,Sao Paulo,Domingo,0
3500,Grupo LATAM,1,N,Concepcion,Lunes,0
6032,Grupo LATAM,1,I,Buenos Aires,Domingo,0
59411,Grupo LATAM,11,N,Puerto Montt,Viernes,0
41921,Grupo LATAM,8,N,Puerto Montt,Jueves,0
33626,Grupo LATAM,7,I,Sao Paulo,Domingo,1
6313,Aerolineas Argentinas,2,I,Buenos Aires,Lunes,0
12740,Sky Airline,3,N,Punta Arenas,Viernes,0
62403,Copa Air,12,I,Ciudad de Panama,Miercoles,0
14923,Grupo LATAM,3,N,Puerto Montt,Martes,1
8443,Grupo LATAM,2,N,Temuco,Sabado,0
8429,Grupo LATAM,2,N,Temuco,Viernes,0
9204,Grupo LATAM,2,N,Concepcion,Miercoles,0
41318,Grupo LATAM,8,N,Iquique,Lunes,0
37937,Grupo LATAM,7,I,La Paz,Jueves,0
27516,Air France,6,I,Paris,Lunes,0
16102,Grupo LATAM,3,I,Miami,Viernes,0
45147,Grupo LATAM,9,I,Sao Paulo,Martes,0
13616,Sky Airline,3,N,Arica,Domingo,0
31927,Grupo LATAM,6,I,Sao Paulo,Viernes,0
17230,Air Canada,4,I,Toronto,Domingo,0
55863,Air Canada,11,I,Toronto,Lunes,0
34014,Sky Airline,7,N,Concepcion,Viernes,0
7205,Sky Airline,2,N,Puerto Montt,Martes,0
35751,Grupo LATAM,7,N,Concepcion,Miercoles,0
18163,Grupo LATAM,4,I,Sao Paulo,Domingo,0
16745,Grupo LATAM,3,I,Montevideo,Sabado,0
11798,Air France,3,I,Paris,Domingo,0
41209,Grupo LATAM,8,N,Calama,Martes,1
43094,Grupo LATAM,8,I,Cordoba,Miercoles,0
17850,K.L.M.,4,I,Buenos Aires,Sabado,1
28024,Delta Air,6,I,Atlanta,Viernes,0
16445,Grupo LATAM,3,I,Lima,Lunes,0
31480,Grupo LATAM,6,I,Cordoba,Miercoles,0
18242,Sky Airline,4,N,Puerto Montt,Miercoles,0
67216,Grupo LATAM,12,I,Auckland N.Z.,Jueves,0
44931,United Airlines,9,I,Houston,Martes,0
5884,Grupo LATAM,1,I,Lima,Lunes,0
15579,Grupo LATAM,3,N,Calama,Lunes,0
42725,Grupo LATAM,8,I,Mendoza,Miercoles,0
8559,Grupo LATAM,2,N,Punta Arenas,Miercoles,0
26611,Grupo LATAM,5,I,Nueva York,Lunes,0
33377,Grupo LATAM,7,I,Sao Paulo,Domingo,0
21331,Grupo LATAM,4,I,Miami,Sabado,0
43278,Grupo LATAM,8,I,Bogota,Jueves,0
27513,Air France,6,I,Paris,Jueves,0
23807,Sky Airline,5,N,Antofagasta,Lunes,1
42584,Grupo LATAM,8,N,Arica,Viernes,0
58847,Grupo LATAM,11,N,Arica,Domingo,0
48759,Grupo LATAM,9,I,Nueva York,Sabado,0
45097,Grupo LATAM,9,I,Sao Paulo,Viernes,0
48902,Grupo LATAM,9,I,Ciudad de Mexico,Viernes,0
13209,Sky Airline,3,N,Calama,Sabado,0
51722,Sky Airline,10,N,Iquique,Viernes,0
34928,Grupo LATAM,7,N,Castro (Chiloe),Sabado,0
67461,Grupo LATAM,12,N,Punta Arenas,Lunes,0
28532,Sky Airline,6,N,Puerto Montt,Viernes,1
15656,Grupo LATAM,3,N,Calama,Viernes,0
60183,Grupo LATAM,11,I,Mendoza,Lunes,0
13290,Sky Airline,3,N,Calama,Viernes,0
39217,Plus Ultra Lineas Aereas,8,I,Madrid,Lunes,1
33231,K.L.M.,7,I,Buenos Aires,Jueves,0
40234,Sky Airline,8,N,Calama,Jueves,0
17950,Grupo LATAM,4,I,Asuncion,Miercoles,0
43868,Latin American Wings,8,N,Puerto Montt,Viernes,0
10222,Grupo LATAM,2,N,Calama,Martes,0
19816,Grupo LATAM,4,N,Arica,Miercoles,0
47474,Grupo LATAM,9,N,Puerto Montt,Viernes,1
63050,Sky Airline,12,N,Puerto Montt,Viernes,0
24153,Sky Airline,5,I,Buenos Aires,Miercoles,0
11979,Aerolineas Argentinas,3,I,Buenos Aires,Domingo,1
18828,Sky Airline,4,N,Antofagasta,Domingo,0
56611,Oceanair Linhas Aereas,11,I,Sao Paulo,Sabado,0
37037,Grupo LATAM,7,I,Buenos Aires,Sabado,0
51924,Sky Airline,10,I,Buenos Aires,Viernes,1
49795,American Airlines,10,I,Dallas,Martes,0
14412,Grupo LATAM,3,N,Iquique,Martes,0
65396,Grupo LATAM,12,N,Temuco,Miercoles,0
22237,Air Canada,5,I,Buenos Aires,Domingo,0
16236,Grupo LATAM,3,I,Bogota,Viernes,0
2965,Grupo LATAM,1,N,Calama,Jueves,0
46998,Grupo LATAM,9,N,Iquique,Jueves,0
49903,Aerolineas Argentinas,10,I,Buenos Aires,Sabado,1
14837,Grupo LATAM,3,N,Temuco,Jueves,0
31857,Grupo LATAM,6,I,Madrid,Jueves,0
61133,Grupo LATAM,11,N,Antofagasta,Jueves,1
3162,Grupo LATAM,1,N,Iquique,Lunes,0
67285,Grupo LATAM,12,I,Santa Cruz,Viernes,0
66435,Grupo LATAM,12,I,Mendoza,Domingo,0
22432,Aerolineas Argentinas,5,I,Buenos Aires,Lunes,0
11828,Aeromexico,3,I,Ciudad de Mexico,Sabado,0
11342,Grupo LATAM,2,I,Cordoba,Martes,0
2757,Grupo LATAM,1,N,Antofagasta,Martes,0
36659,Grupo LATAM,7,N,Calama,Jueves,0
46955,Grupo LATAM,9,N,Iquique,Viernes,0
36174,Grupo LATAM,7,N,Puerto Montt,Martes,1
59677,Grupo LATAM,11,N,La Serena,Domingo,0
57183,Sky Airline,11,N,Temuco,Miercoles,0
66504,Grupo LATAM,12,I,Buenos Aires,Domingo,0
60850,Grupo LATAM,11,I,Sao Paulo,Lunes,1
58105,Sky Airline,11,I,Lima,Domingo,0
18457,Sky Airline,4,N,Concepcion,Martes,0
34041,Sky Airline,7,N,Concepcion,Miercoles,0
43450,Grupo LATAM,8,I,Lima,Lunes,0
57472,Sky Airline,11,N,Calama,Domingo,0
66669,Grupo LATAM,12,I,Cordoba,Viernes,0
41911,Grupo LATAM,8,N,Puerto Montt,Domingo,0
59055,Grupo LATAM,11,N,Concepcion,Martes,0
17691,Copa Air,4,I,Ciudad de Panama,Domingo,0
13546,Sky Airline,3,N,Iquique,Jueves,0
15321,Grupo LATAM,3,N,La Serena,Viernes,0
3991,Grupo LATAM,1,N,Punta Arenas,Viernes,0
56093,Austral,11,I,Cordoba,Jueves,0
44874,British Airways,9,I,Londres,Miercoles,0
9988,Grupo LATAM,2,N,La Serena,Viernes,0
33513,Grupo LATAM,7,I,Rio de Janeiro,Domingo,1
1023,Grupo LATAM,1,I,Sao Paulo,Domingo,0
63881,Sky Airline,12,N,Antofagasta,Miercoles,1
37369,Grupo LATAM,7,I,Lima,Viernes,0
54187,Grupo LATAM,10,I,Buenos Aires,Jueves,1
50386,Gol Trans,10,I,Sao Paulo,Jueves,1
49735,JetSmart SPA,9,N,Temuco,Jueves,0
15791,Grupo LATAM,3,N,Arica,Viernes,0
12535,Grupo LATAM,3,I,Sao Paulo,Miercoles,0
59961,Grupo LATAM,11,N,Calama,Sabado,0
6059,Latin American Wings,1,I,Lima,Martes,1
28718,Sky Airline,6,N,Concepcion,Jueves,1
39381,Grupo LATAM,8,I,Sao Paulo,Miercoles,1
47858,Grupo LATAM,9,N,Copiapo,Sabado,0
46495,Grupo LATAM,9,N,Balmaceda,Sabado,1
57586,Sky Airline,11,N,Antofagasta,Lunes,0
25575,Grupo LATAM,5,N,Punta Arenas,Domingo,1
33078,Delta Air,7,I,Atlanta,Jueves,0
36179,Grupo LATAM,7,N,Puerto Montt,Sabado,1
62835,Grupo LATAM,12,I,Sao Paulo,Miercoles,0
16063,Grupo LATAM,3,I,Buenos Aires,Miercoles,0
48462,Grupo LATAM,9,I,Buenos Aires,Jueves,0
6070,Latin American Wings,1,I,Lima,Domingo,0
40482,Sky Airline,8,N,Arica,Miercoles,0
21148,Grupo LATAM,4,I,Buenos Aires,Jueves,1
2661,Grupo LATAM,1,N,Punta Arenas,Viernes,0
19609,Grupo LATAM,4,N,Calama,Miercoles,0
11027,Grupo LATAM,2,I,Sao Paulo,Domingo,0
21562,Grupo LATAM,4,I,Ciudad de Mexico,Sabado,0
45894,Sky Airline,9,N,Antofagasta,Lunes,0
32676,Aerolineas Argentinas,7,I,Buenos Aires,Sabado,0
55077,Grupo LATAM,10,N,Antofagasta,Jueves,0
27284,Latin American Wings,5,N,Puerto Montt,Martes,0
1947,Sky Airline,1,N,Antofagasta,Domingo,0
24345,Grupo LATAM,5,N,Castro (Chiloe),Domingo,0
51891,Sky Airline,10,I,Buenos Aires,Viernes,1
56347,Delta Air,11,I,Atlanta,Miercoles,1
29357,Sky Airline,6,I,Mendoza,Lunes,0
65479,Grupo LATAM,12,N,Puerto Montt,Lunes,0
66485,Grupo LATAM,12,I,Buenos Aires,Lunes,0
61419,Grupo LATAM,11,I,Neuquen,Miercoles,0
57892,Sky Airline,11,N,Arica,Lunes,0
59252,Grupo LATAM,11,N,Puerto Montt,Lunes,0
3745,Grupo LATAM,1,N,Puerto Montt,Martes,0
6040,Grupo LATAM,1,I,Buenos Aires,Jueves,1
1991,Sky Airline,1,N,Antofagasta,Jueves,0
6351,Aerolineas Argentinas,2,I,Buenos Aires,Sabado,0
55158,Grupo LATAM,10,I,Guayaquil,Jueves,0
12826,Sky Airline,3,N,Balmaceda,Lunes,0
7140,Grupo LATAM,2,I,Sao Paulo,Miercoles,0
12810,Sky Airline,3,N,Puerto Montt,Jueves,0
55943,Aerolineas Argentinas,11,I,Buenos Aires,Sabado,1
13323,Sky Airline,3,N,Calama,Lunes,0
49707,JetSmart SPA,9,N,Concepcion,Martes,0
40457,Sky Airline,8,N,Iquique,Miercoles,0
38877,Copa Air,8,I,Ciudad de Panama,Domingo,0
48737,Grupo LATAM,9,I,Lima,Domingo,0
27386,Latin American Wings,5,I,Lima,Jueves,0
39737,Sky Airline,8,N,Puerto Montt,Miercoles,0
61563,Latin American Wings,11,I,Lima,Sabado,0
19578,Grupo LATAM,4,N,La Serena,Viernes,0
43042,Grupo LATAM,8,I,Cordoba,Viernes,0
3111,Grupo LATAM,1,N,Iquique,Domingo,0
42027,Grupo LATAM,8,N,Punta Arenas,Jueves,0
14457,Grupo LATAM,3,N,Iquique,Sabado,0
65707,Grupo LATAM,12,N,Punta Arenas,Domingo,1
36107,Grupo LATAM,7,N,Balmaceda,Domingo,0
32557,Aeromexico,7,I,Ciudad de Mexico,Martes,0
29305,Sky Airline,6,I,Buenos Aires,Jueves,0
29104,Sky Airline,6,N,Iquique,Lunes,0
66236,Grupo LATAM,12,N,Arica,Domingo,1
24908,Grupo LATAM,5,N,Iquique,Domingo,0
10022,Grupo LATAM,2,N,Copiapo,Lunes,0
52459,Grupo LATAM,10,N,Calama,Martes,0
54405,Grupo LATAM,10,I,Cordoba,Sabado,0
7299,Sky Airline,2,N,Puerto Montt,Viernes,0
36418,Grupo LATAM,7,N,La Serena,Martes,0
21314,Grupo LATAM,4,I,Miami,Miercoles,0
49891,Aeromexico,10,I,Ciudad de Mexico,Martes,0
45415,Sky Airline,9,N,Puerto Montt,Martes,0
19548,Grupo LATAM,4,N,Calama,Domingo,0
2560,Grupo LATAM,1,N,Antofagasta,Jueves,0
64941,Grupo LATAM,12,N,Calama,Viernes,0
7979,Sky Airline,2,N,Iquique,Domingo,0
41691,Grupo LATAM,8,N,Temuco,Martes,0
41345,Grupo LATAM,8,N,Iquique,Domingo,0
66599,Grupo LATAM,12,I,Buenos Aires,Domingo,0
53882,Grupo LATAM,10,N,Arica,Viernes,1
38844,British Airways,8,I,Londres,Martes,0
3218,Grupo LATAM,1,N,Iquique,Jueves,0
63957,Sky Airline,12,N,Iquique,Viernes,1
22991,Grupo LATAM,5,I,Asuncion,Jueves,1
